"Choose the antonym for 'evade'.","[""pilfer"",""confront"",""besieged"",""rivet""]","confront","ant","evade"
"Choose the antonym for 'aspire'.","[""discord"",""exclaim"",""despair"",""rebuttal""]","despair","ant","aspire"
"Choose the antonym for 'desire' (a feeling).","[""intricate"",""profligate"",""aversion"",""scruffy""]","aversion","ant","desire"
"Choose the antonym for 'naive'.","[""din"",""shrewd"",""dispute"",""staunch""]","shrewd","ant","naive"
"Choose the antonym for 'apprehend' (a suspect).","[""sermon"",""conscientious"",""deteriorate"",""release""]","release","ant","apprehend"
"Choose the antonym for 'purloin'.","[""inferior"",""return"",""exorbitant"",""arid""]","return","ant","purloin"
"Choose the antonym for 'impart'.","[""foam"",""grotesque"",""sullen"",""conceal""]","conceal","ant","impart"
"Choose the antonym for 'pilfer'.","[""stalwart"",""mumble"",""return"",""commence""]","return","ant","pilfer"
"Choose the antonym for 'resonate' (a sound).","[""resentful"",""dampen"",""obsolete"",""gleeful""]","dampen","ant","resonate"
"Choose the antonym for 'diplomatic'.","[""crevice"",""compliant"",""blunt"",""cellar""]","blunt","ant","diplomatic"
"Choose the antonym for 'tactful'.","[""pigment"",""hustle"",""stern"",""tactless""]","tactless","ant","tactful"
"Choose the antonym for 'sway' (in the breeze).","[""steady"",""consonant"",""meld"",""succumb""]","steady","ant","sway"
"Choose the antonym for 'vouch'.","[""dwindle"",""dispute"",""palaeontologist"",""complement""]","dispute","ant","vouch"
"Choose the antonym for 'attest'.","[""advice"",""refute"",""diminish"",""ovine""]","refute","ant","attest"
"Choose the antonym for 'celestial'.","[""shuffle"",""covet"",""terrestrial"",""poetry""]","terrestrial","ant","celestial"
"Choose the antonym for 'vital'.","[""porcine"",""settee"",""trivial"",""fester""]","trivial","ant","vital"
"Choose the antonym for 'trough' (of a wave).","[""insolent"",""peak"",""tenuous"",""quaint""]","peak","ant","trough"
"Choose the antonym for 'vice' (a moral quality).","[""yacht"",""virtue"",""agitated"",""complement""]","virtue","ant","vice"
"Choose the antonym for 'virtue'.","[""intrigue"",""vice"",""impediment"",""punctual""]","vice","ant","virtue"
"Choose the antonym for 'sweltering'.","[""flourish"",""vile"",""frigid"",""heed""]","frigid","ant","sweltering"
"Choose the antonym for 'scalding'.","[""endure"",""lucid"",""technophobe"",""cold""]","cold","ant","scalding"
"Choose the antonym for 'frigid'.","[""despise"",""sweltering"",""mumble"",""hasty""]","sweltering","ant","frigid"
"Choose the antonym for 'scowl'.","[""smile"",""pigment"",""dignify"",""consonant""]","smile","ant","scowl"
"Choose the antonym for 'frown'.","[""smile"",""hamper"",""mediocre"",""conceal""]","smile","ant","frown"
"Choose the antonym for 'hamper'.","[""vicarious"",""facilitate"",""oblivious"",""endure""]","facilitate","ant","hamper"
"Choose the antonym for 'stroll'.","[""rush"",""bland"",""procrastinate"",""truce""]","rush","ant","stroll"
"Choose the antonym for 'husk'.","[""impart"",""kernel"",""obscene"",""infamy""]","kernel","ant","husk"
"Choose the antonym for 'brittle'.","[""tough"",""technophobe"",""besieged"",""quench""]","tough","ant","brittle"
"Choose the antonym for 'shell'.","[""brittle"",""vanish"",""interior"",""conceited""]","interior","ant","shell"
"Choose the antonym for 'sedate' (a manner).","[""excitable"",""prudent"",""abhor"",""malign""]","excitable","ant","sedate"
"Choose the antonym for 'divulge'.","[""subdued"",""solace"",""conceal"",""taut""]","conceal","ant","divulge"
"Choose the antonym for 'valour'.","[""dwelling"",""hasty"",""juvenile"",""cowardice""]","cowardice","ant","valour"
"Choose the antonym for 'midst'.","[""myth"",""edge"",""adept"",""lax""]","edge","ant","midst"
"Choose the antonym for 'forfeit'.","[""wee"",""fortitude"",""intermittently"",""retain""]","retain","ant","forfeit"
"Choose the antonym for 'inconsequential'.","[""imperious"",""gravely"",""important"",""flourish""]","important","ant","inconsequential"
"Choose the antonym for 'superficial' (an investigation).","[""pungent"",""subtle"",""vile"",""thorough""]","thorough","ant","superficial"
"Choose the antonym for 'negligible'.","[""desire"",""arid"",""substantial"",""pungent""]","substantial","ant","negligible"
"Choose the antonym for 'substantial'.","[""negligible"",""distress"",""tepid"",""confront""]","negligible","ant","substantial"
"Choose the antonym for 'salient'.","[""minor"",""settee"",""economical"",""artefact""]","minor","ant","salient"
"Choose the antonym for 'immaterial'.","[""smother"",""concur"",""trickle"",""relevant""]","relevant","ant","immaterial"
"Choose the antonym for 'insignificant'.","[""controversy"",""confront"",""significant"",""conscience""]","significant","ant","insignificant"
"Choose the antonym for 'discord'.","[""harmony"",""probate"",""yearn"",""peckish""]","harmony","ant","discord"
"Choose the antonym for 'bland' (in flavour).","[""thrive"",""twine"",""empire"",""flavourful""]","flavourful","ant","bland"
"Choose the antonym for 'insipid' (in flavour).","[""flavourful"",""intrinsic"",""dazzling"",""regal""]","flavourful","ant","insipid"
"Choose the antonym for 'whine'.","[""nullify"",""vein"",""discordant"",""praise""]","praise","ant","whine"
"Choose the antonym for 'moan'.","[""stalwart"",""limp"",""vend"",""cheer""]","cheer","ant","moan"
"Choose the antonym for 'surmise'.","[""know"",""spurn"",""barren"",""vulgar""]","know","ant","surmise"
"Choose the antonym for 'deduct'.","[""meek"",""prejudice"",""mellow"",""add""]","add","ant","deduct"
"Choose the antonym for 'enchant'.","[""susceptible"",""repel"",""whisper"",""arid""]","repel","ant","enchant"
"Choose the antonym for 'skim' (a text).","[""study"",""desire"",""meadow"",""dilate""]","study","ant","skim"
"Choose the antonym for 'pare'.","[""slander"",""jury"",""add"",""offend""]","add","ant","pare"
"Choose the antonym for 'rebuke'.","[""praise"",""feign"",""disclose"",""profligate""]","praise","ant","rebuke"
"Choose the antonym for 'comprehensive'.","[""incomplete"",""demean"",""sanitary"",""afflict""]","incomplete","ant","comprehensive"
"Choose the antonym for 'thorough'.","[""furious"",""forthwith"",""superficial"",""susceptible""]","superficial","ant","thorough"
"Choose the antonym for 'indulgent'.","[""compulsory"",""porcine"",""severe"",""paltry""]","severe","ant","indulgent"
"Choose the antonym for 'prudent'.","[""reckless"",""legend"",""break a leg"",""enchant""]","reckless","ant","prudent"
"Choose the antonym for 'detrimental'.","[""tactful"",""beneficial"",""gregarious"",""despicable""]","beneficial","ant","detrimental"
"Choose the antonym for 'queasy'.","[""well"",""pique"",""club"",""delegate""]","well","ant","queasy"
"Choose the antonym for 'witty'.","[""stride"",""probation"",""insignificant"",""dull""]","dull","ant","witty"
"Choose the antonym for 'revolve'.","[""subterfuge"",""wary"",""restrain"",""remain still""]","remain still","ant","revolve"
"Choose the antonym for 'veteran' (in a profession).","[""foil"",""merchant"",""intricate"",""novice""]","novice","ant","veteran"
"Choose the antonym for 'elongate'.","[""destitute"",""dextrous"",""lax"",""shorten""]","shorten","ant","elongate"
"Choose the antonym for 'curtail'.","[""extend"",""vanity"",""grotesque"",""besotted""]","extend","ant","curtail"
"Choose the antonym for 'tempest'.","[""warp"",""pungent"",""calm"",""fringe""]","calm","ant","tempest"
"Choose the antonym for 'waver'.","[""platonic"",""remain firm"",""dearth"",""perilous""]","remain firm","ant","waver"
"Choose the antonym for 'ignite'.","[""divulge"",""stingy"",""quench"",""meek""]","quench","ant","ignite"
"Choose the antonym for 'kindle' (a feeling).","[""probable"",""suppress"",""subtle"",""affable""]","suppress","ant","kindle"
"Choose the antonym for 'docile'.","[""vice"",""whimper"",""defiant"",""commence""]","defiant","ant","docile"
"Choose the antonym for 'compliant'.","[""howl"",""defiant"",""crevice"",""gleeful""]","defiant","ant","compliant"
"Choose the antonym for 'resentful'.","[""procrastinate"",""sermon"",""content"",""diligent""]","content","ant","resentful"
"Choose the antonym for 'gloomy'.","[""aggravation"",""adept"",""demean"",""cheerful""]","cheerful","ant","gloomy"
"Choose the antonym for 'censorious'.","[""purloin"",""palaeontologist"",""approving"",""perceive""]","approving","ant","censorious"
"Choose the antonym for 'decrepit'.","[""ferocious"",""warp"",""sturdy"",""arid""]","sturdy","ant","decrepit"
"Choose the antonym for 'obliging'.","[""loathe"",""unhelpful"",""coil"",""thorough""]","unhelpful","ant","obliging"
"Choose the antonym for 'poise'.","[""awkwardness"",""disguise"",""impediment"",""howl""]","awkwardness","ant","poise"
"Choose the antonym for 'technophobe'.","[""advice"",""technophile"",""scatter"",""forfeit""]","technophile","ant","technophobe"
"Choose the antonym for 'flog' (goods at a market).","[""buy"",""squander"",""legend"",""nuisance""]","buy","ant","flog"
"Choose the antonym for 'amoral'.","[""dearth"",""dismal"",""moral"",""offend""]","moral","ant","amoral"
"Choose the antonym for 'stricken'.","[""censorious"",""dwelling"",""caprine"",""unaffected""]","unaffected","ant","stricken"
"Choose the antonym for 'strenuous'.","[""easy"",""imitate"",""weary"",""pivotal""]","easy","ant","strenuous"
"Choose the antonym for 'melodious'.","[""limp"",""discordant"",""prophecy"",""diminish""]","discordant","ant","melodious"
"Choose the antonym for 'discordant'.","[""crevice"",""melodious"",""gleeful"",""smirk""]","melodious","ant","discordant"
"Choose the antonym for 'afflict'.","[""wavy"",""demure"",""pivotal"",""relieve""]","relieve","ant","afflict"
"Choose the antonym for 'dictate' (instructions).","[""request"",""exile"",""potent"",""savvy""]","request","ant","dictate"
"Choose the antonym for 'desist'.","[""continue"",""strenuous"",""ignorant"",""brusque""]","continue","ant","desist"
"Choose the antonym for 'prevalent'.","[""break a leg"",""rare"",""scatter"",""banish""]","rare","ant","prevalent"
"Choose the antonym for 'enrapt'.","[""lavish"",""dextrous"",""bored"",""vice""]","bored","ant","enrapt"
"Choose the antonym for 'threadbare'.","[""pristine"",""notoriety"",""dazzling"",""foam""]","pristine","ant","threadbare"
"Choose the antonym for 'devoted'.","[""frigid"",""disloyal"",""auspicious"",""notion""]","disloyal","ant","devoted"
"Choose the antonym for 'stalwart'.","[""unreliable"",""meticulous"",""magma"",""ramble""]","unreliable","ant","stalwart"
"Choose the antonym for 'jovial'.","[""current"",""tenuous"",""petty"",""gloomy""]","gloomy","ant","jovial"
"Choose the antonym for 'genial'.","[""hostile"",""covert"",""superficial"",""vouch""]","hostile","ant","genial"
"Choose the antonym for 'fraught'.","[""drought"",""famine"",""devoted"",""calm""]","calm","ant","fraught"
"Choose the antonym for 'fracas'.","[""peace"",""grieve"",""exaggerate"",""squander""]","peace","ant","fracas"
"Choose the antonym for 'facilitate'.","[""satiated"",""tease"",""hinder"",""veto""]","hinder","ant","facilitate"
"Choose the antonym for 'nullify'.","[""savvy"",""validate"",""stalwart"",""coax""]","validate","ant","nullify"
"Choose the antonym for 'infamy'.","[""honour"",""salient"",""dawdle"",""adept""]","honour","ant","infamy"
"Choose the antonym for 'notoriety'.","[""truce"",""obscurity"",""grime"",""abhor""]","obscurity","ant","notoriety"
"Choose the antonym for 'rebuttal'.","[""diluted"",""agreement"",""feline"",""placid""]","agreement","ant","rebuttal"
"Choose the antonym for 'fickle'.","[""steadfast"",""imbecile"",""compulsory"",""snub""]","steadfast","ant","fickle"
"Choose the antonym for 'staunch'.","[""piscine"",""lax"",""wavering"",""current""]","wavering","ant","staunch"
"Choose the antonym for 'virulent' (of a disease).","[""legend"",""mild"",""potential"",""trifling""]","mild","ant","virulent"
"Choose the antonym for 'fester' (a wound).","[""froth"",""heal"",""notion"",""candid""]","heal","ant","fester"
"Choose the antonym for 'intrinsic'.","[""exaggerate"",""insipid"",""vein"",""extrinsic""]","extrinsic","ant","intrinsic"
"Choose the antonym for 'debut'.","[""encompass"",""derelict"",""finale"",""dignify""]","finale","ant","debut"
"Choose the antonym for 'hustle'.","[""cellar"",""trough"",""rural"",""dawdle""]","dawdle","ant","hustle"
"Choose the antonym for 'delegate'.","[""criticism"",""impart"",""raucous"",""retain""]","retain","ant","delegate"
"Choose the antonym for 'procrastinate'.","[""deliberate"",""radiant"",""cordial"",""act promptly""]","act promptly","ant","procrastinate"
"Choose the antonym for 'fringe' (of an area).","[""austerity"",""glum"",""relevant"",""centre""]","centre","ant","fringe"
"Choose the antonym for 'asinine'.","[""strenuous"",""superfluous"",""dawdle"",""wise""]","wise","ant","asinine"
"Choose the antonym for 'serpentine' (a road).","[""chortle"",""substantial"",""scanty"",""straight""]","straight","ant","serpentine"
"Choose the antonym for 'resolute'.","[""equivocate"",""taciturn"",""grieve"",""irresolute""]","irresolute","ant","resolute"
"Choose the antonym for 'taciturn'.","[""talkative"",""achieve"",""gleeful"",""urge""]","talkative","ant","taciturn"
"Choose the antonym for 'tenacious'.","[""fortitude"",""quaint"",""sedate"",""irresolute""]","irresolute","ant","tenacious"
"Choose the antonym for 'apprehensive'.","[""confident"",""achieve"",""celestial"",""tone""]","confident","ant","apprehensive"
"Choose the antonym for 'intrepid'.","[""oblivious"",""timid"",""indulgent"",""sedate""]","timid","ant","intrepid"
"Choose the antonym for 'ascend'.","[""raiment"",""ambulatory"",""descend"",""symbol""]","descend","ant","ascend"
"Choose the antonym for 'meander'.","[""straighten"",""context"",""criticism"",""wavy""]","straighten","ant","meander"
"Choose the antonym for 'propel'.","[""repel"",""unravel"",""leonine"",""obsolete""]","repel","ant","propel"
"Choose the antonym for 'scurry'.","[""stroll"",""exaggerate"",""curiosity"",""errand""]","stroll","ant","scurry"
"Choose the antonym for 'trudge'.","[""quench"",""despicable"",""populous"",""sprint""]","sprint","ant","trudge"
"Choose the antonym for 'abundant'.","[""recommend"",""meagre"",""arid"",""refute""]","meagre","ant","abundant"
"Choose the antonym for 'opulent'.","[""diligent"",""doltish"",""prudent"",""impoverished""]","impoverished","ant","opulent"
"Choose the antonym for 'porous'.","[""enrage"",""analyse"",""impermeable"",""club""]","impermeable","ant","porous"
"Choose the antonym for 'abhorrent'.","[""absurd"",""grieve"",""melancholy"",""admirable""]","admirable","ant","abhorrent"
"Choose the antonym for 'hostile'.","[""irate"",""adhere"",""friendly"",""subtle""]","friendly","ant","hostile"
"Choose the antonym for 'heinous'.","[""submerge"",""admirable"",""impede"",""ascend""]","admirable","ant","heinous"
"Choose the antonym for 'adversity'.","[""astute"",""prosperity"",""inhabitants"",""lucid""]","prosperity","ant","adversity"
"Choose the antonym for 'abate'.","[""ajar"",""intensify"",""astute"",""congregate""]","intensify","ant","abate"
"Choose the antonym for 'abduct'.","[""dextrous"",""token"",""evidence"",""release""]","release","ant","abduct"
"Choose the antonym for 'aberrant'.","[""scripture"",""calamity"",""literal"",""typical""]","typical","ant","aberrant"
"Choose the antonym for 'ablest'.","[""conscientious"",""accessible"",""admonish"",""least capable""]","least capable","ant","ablest"
"Choose the antonym for 'abominable'.","[""excellent"",""contemplate"",""peculiar"",""turbulent""]","excellent","ant","abominable"
"Choose the antonym for 'abomination'.","[""astute"",""blessing"",""obtuse"",""royal""]","blessing","ant","abomination"
"Choose the antonym for 'abrasive'.","[""complement"",""linger"",""queue"",""smooth""]","smooth","ant","abrasive"
"Choose the antonym for 'absence'.","[""smother"",""scalding"",""resort to"",""existence""]","existence","ant","absence"
"Choose the antonym for 'absolute'.","[""overt"",""partial"",""commence"",""magma""]","partial","ant","absolute"
"Choose the antonym for 'absorbed'.","[""bored"",""hustle"",""advance"",""besieged""]","bored","ant","absorbed"
"Choose the antonym for 'abstract'.","[""unkempt"",""vanish"",""literal"",""dilemma""]","literal","ant","abstract"
"Choose the antonym for 'abstruse'.","[""abate"",""simple"",""fringe"",""acclaim""]","simple","ant","abstruse"
"Choose the antonym for 'accessible'.","[""embarrass"",""adamant"",""inaccessible"",""figurative""]","inaccessible","ant","accessible"
"Choose the antonym for 'acclaim'.","[""criticism"",""filth"",""accommodate"",""equipment""]","criticism","ant","acclaim"
"Choose the antonym for 'accolade'.","[""insipid"",""abstruse"",""reproach"",""impartial""]","reproach","ant","accolade"
"Choose the antonym for 'accumulate'.","[""rhyme"",""vanity"",""disperse"",""spurn""]","disperse","ant","accumulate"
"Choose the antonym for 'accusatory'.","[""defending"",""abominable"",""dispute"",""acquaint""]","defending","ant","accusatory"
"Choose the antonym for 'accuse'.","[""absolve"",""debut"",""aloof"",""probation""]","absolve","ant","accuse"
"Choose the antonym for 'accustom'.","[""absurd"",""viscous"",""deter"",""unsettle""]","unsettle","ant","accustom"
"Choose the antonym for 'acerbic'.","[""ravenous"",""obedient"",""peckish"",""kind""]","kind","ant","acerbic"
"Choose the antonym for 'acquaint'.","[""neighbour"",""extinct"",""conceal"",""caption""]","conceal","ant","acquaint"
"Choose the antonym for 'acquiescence'.","[""adjacent"",""opposition"",""hindrance"",""fluctuate""]","opposition","ant","acquiescence"
"Choose the antonym for 'acquire'.","[""forfeit"",""adjacent"",""relish"",""contempt""]","forfeit","ant","acquire"
"Choose the antonym for 'acrimonious'.","[""vanity"",""friendly"",""favourable"",""government""]","friendly","ant","acrimonious"
"Choose the antonym for 'acronym'.","[""aromatic"",""full form"",""impervious"",""demolish""]","full form","ant","acronym"
"Choose the antonym for 'adamant'.","[""flexible"",""contrast"",""affluent"",""empire""]","flexible","ant","adamant"
"Choose the antonym for 'address'.","[""ignore"",""imitate"",""valour"",""fatigue""]","ignore","ant","address"
"Choose the antonym for 'adequate'.","[""faux"",""adjacent"",""deficient"",""purloin""]","deficient","ant","adequate"
"Choose the antonym for 'adherent'.","[""adopt"",""opponent"",""moan"",""comrade""]","opponent","ant","adherent"
"Choose the antonym for 'adjacent'.","[""probate"",""royal"",""distant"",""abrupt""]","distant","ant","adjacent"
"Choose the antonym for 'adjourn'.","[""irksome"",""continue"",""pioneer"",""debut""]","continue","ant","adjourn"
"Choose the antonym for 'admirable'.","[""compulsory"",""clamour"",""favourable"",""disgraceful""]","disgraceful","ant","admirable"
"Choose the antonym for 'admission'.","[""pious"",""refusal"",""clamour"",""despair""]","refusal","ant","admission"
"Choose the antonym for 'admonish'.","[""smirk"",""abrupt"",""indulgent"",""praise""]","praise","ant","admonish"
"Choose the antonym for 'adopt'.","[""controversy"",""juvenile"",""abandon"",""vain""]","abandon","ant","adopt"
"Choose the antonym for 'adore'.","[""liable"",""ignorant"",""equip"",""loathe""]","loathe","ant","adore"
"Choose the antonym for 'adulation'.","[""facilitate"",""contempt"",""language"",""average""]","contempt","ant","adulation"
"Choose the antonym for 'advance'.","[""caption"",""endure"",""retreat"",""deduct""]","retreat","ant","advance"
"Choose the antonym for 'adversary'.","[""probate"",""sever"",""confront"",""ally""]","ally","ant","adversary"
"Choose the antonym for 'aesthetic'.","[""discord"",""contemporary"",""practical"",""diminish""]","practical","ant","aesthetic"
"Choose the antonym for 'affectionate'.","[""barren"",""opportunity"",""obscene"",""hostile""]","hostile","ant","affectionate"
"Choose the antonym for 'affinity'.","[""aversion"",""brusque"",""pungent"",""deceit""]","aversion","ant","affinity"
"Choose the antonym for 'affirmation'.","[""denial"",""abandon"",""facilitate"",""subdued""]","denial","ant","affirmation"
"Choose the antonym for 'affliction'.","[""gadget"",""excellent"",""whimper"",""relief""]","relief","ant","affliction"
"Choose the antonym for 'affluent'.","[""diplomatic"",""poor"",""disperse"",""perceive""]","poor","ant","affluent"
"Choose the antonym for 'affront'.","[""smirk"",""ovine"",""compliment"",""lea""]","compliment","ant","affront"
"Choose the antonym for 'aggressor'.","[""inconspicuous"",""populous"",""narrative"",""victim""]","victim","ant","aggressor"
"Choose the antonym for 'aghast'.","[""delighted"",""genial"",""virtue"",""tenacious""]","delighted","ant","aghast"
"Choose the antonym for 'agnostic'.","[""believer"",""perplexed"",""fringe"",""forgo""]","believer","ant","agnostic"
"Choose the antonym for 'agreeable'.","[""hostile"",""floppy"",""memoir"",""trough""]","hostile","ant","agreeable"
"Choose the antonym for 'akin'.","[""absurd"",""confront"",""appetising"",""different""]","different","ant","akin"
"Choose the antonym for 'alacrity'.","[""imitate"",""wander"",""corvine"",""reluctance""]","reluctance","ant","alacrity"
"Choose the antonym for 'albeit'.","[""adhere"",""similarly"",""agitated"",""deter""]","similarly","ant","albeit"
"Choose the antonym for 'alert'.","[""mediocre"",""abominable"",""drowsy"",""probation""]","drowsy","ant","alert"
"Choose the antonym for 'alienate'.","[""recommend"",""welcome"",""cervine"",""melodious""]","welcome","ant","alienate"
"Choose the antonym for 'allay'.","[""forty"",""intensify"",""perplexed"",""ursine""]","intensify","ant","allay"
"Choose the antonym for 'allegation'.","[""exoneration"",""brisk"",""furious"",""hindrance""]","exoneration","ant","allegation"
"Choose the antonym for 'alleviate'.","[""clement"",""worsen"",""corvine"",""exhausted""]","worsen","ant","alleviate"
"Choose the antonym for 'allot'.","[""deprive"",""veto"",""passive"",""forfeit""]","deprive","ant","allot"
"Choose the antonym for 'alluring'.","[""repulsive"",""acerbic"",""tint"",""divulge""]","repulsive","ant","alluring"
"Choose the antonym for 'allusion'.","[""immaterial"",""assistance"",""sporadically"",""quotation""]","quotation","ant","allusion"
"Choose the antonym for 'ally'.","[""economical"",""absolute"",""adversary"",""feline""]","adversary","ant","ally"
"Choose the antonym for 'altercation'.","[""peculiar"",""axiom"",""agreement"",""fragrant""]","agreement","ant","altercation"
"Choose the antonym for 'altitude'.","[""sage"",""melancholy"",""depth"",""charismatic""]","depth","ant","altitude"
"Choose the antonym for 'altruistic'.","[""articulate"",""lucid"",""selfish"",""obliging""]","selfish","ant","altruistic"
"Choose the antonym for 'ambition'.","[""murine"",""contentment"",""din"",""collude""]","contentment","ant","ambition"
"Choose the antonym for 'ambivalence'.","[""flourish"",""certainty"",""loathsome"",""linger""]","certainty","ant","ambivalence"
"Choose the antonym for 'amend'.","[""futile"",""lax"",""sedate"",""reject""]","reject","ant","amend"
"Choose the antonym for 'amiable'.","[""extinct"",""hostile"",""vent"",""repent""]","hostile","ant","amiable"
"Choose the antonym for 'amorphous'.","[""definite"",""connotation"",""amiable"",""defy""]","definite","ant","amorphous"
"Choose the antonym for 'amphibian'.","[""abduct"",""familiar"",""tranquil"",""reptile""]","reptile","ant","amphibian"
"Choose the antonym for 'ample'.","[""blot"",""meagre"",""negligible"",""bovine""]","meagre","ant","ample"
"Choose the antonym for 'amusing'.","[""pungent"",""appetising"",""tedious"",""summit""]","tedious","ant","amusing"
"Choose the antonym for 'anagram'.","[""irksome"",""original wording"",""doltish"",""uniform""]","original wording","ant","anagram"
"Choose the antonym for 'analogy'.","[""mediocre"",""demean"",""avoid"",""contrast""]","contrast","ant","analogy"
"Choose the antonym for 'anarchist'.","[""prose"",""law-abiding citizen"",""exile"",""din""]","law-abiding citizen","ant","anarchist"
"Choose the antonym for 'ancestral'.","[""petty"",""insignia"",""derelict"",""contemporary""]","contemporary","ant","ancestral"
"Choose the antonym for 'anecdote'.","[""gratifying"",""formal report"",""adjourn"",""bemoan""]","formal report","ant","anecdote"
"Choose the antonym for 'angst'.","[""scoff"",""alleviate"",""sever"",""tranquillity""]","tranquillity","ant","angst"
"Choose the antonym for 'antagonistic'.","[""agreeable"",""ambiguous"",""scrupulous"",""unsurpassed""]","agreeable","ant","antagonistic"
"Choose the antonym for 'antidote'.","[""brief"",""hinder"",""poison"",""placid""]","poison","ant","antidote"
"Choose the antonym for 'antipathy'.","[""acquire"",""purloin"",""sympathy"",""oppress""]","sympathy","ant","antipathy"
"Choose the antonym for 'antiquated'.","[""dignify"",""wretched"",""contemporary"",""irate""]","contemporary","ant","antiquated"
"Choose the antonym for 'antithesis'.","[""similarity"",""stern"",""audition"",""sage""]","similarity","ant","antithesis"
"Choose the antonym for 'anxious'.","[""famine"",""calm"",""accessible"",""nullify""]","calm","ant","anxious"
"Choose the antonym for 'aperture'.","[""plug"",""rebuttal"",""allusion"",""sweltering""]","plug","ant","aperture"
"Choose the antonym for 'aphorism'.","[""frivolous"",""lengthy speech"",""divulge"",""berate""]","lengthy speech","ant","aphorism"
"Choose the antonym for 'apoplectic'.","[""demolish"",""bustling"",""calm"",""category""]","calm","ant","apoplectic"
"Choose the antonym for 'appeal'.","[""settee"",""composed"",""component"",""refusal""]","refusal","ant","appeal"
"Choose the antonym for 'appearance'.","[""prudent"",""dingy"",""absence"",""clandestine""]","absence","ant","appearance"
"Choose the antonym for 'appease'.","[""abstruse"",""enrage"",""candour"",""dishevelled""]","enrage","ant","appease"
"Choose the antonym for 'appetising'.","[""imbecile"",""unsurpassed"",""bland"",""charlatan""]","bland","ant","appetising"
"Choose the antonym for 'apprentice'.","[""symbol"",""vulpine"",""exile"",""expert""]","expert","ant","apprentice"
"Choose the antonym for 'apprise'.","[""heed"",""evaluation"",""conceal"",""probation""]","conceal","ant","apprise"
"Choose the antonym for 'approve'.","[""moan"",""condemn"",""ravenous"",""cuisine""]","condemn","ant","approve"
"Choose the antonym for 'apt'.","[""tease"",""adamant"",""economical"",""unsuitable""]","unsuitable","ant","apt"
"Choose the antonym for 'aptitude'.","[""censure"",""companion"",""inability"",""akin""]","inability","ant","aptitude"
"Choose the antonym for 'arbitrary'.","[""diminish"",""cathartic"",""deliberate"",""trickle""]","deliberate","ant","arbitrary"
"Choose the antonym for 'archaic'.","[""allusion"",""negligible"",""clench"",""contemporary""]","contemporary","ant","archaic"
"Choose the antonym for 'architecture'.","[""complacent"",""regal"",""exaggerate"",""demolition""]","demolition","ant","architecture"
"Choose the antonym for 'ardour'.","[""asset"",""apathy"",""stagnant"",""caution""]","apathy","ant","ardour"
"Choose the antonym for 'argument'.","[""achieve"",""dingy"",""immaculate"",""agreement""]","agreement","ant","argument"
"Choose the antonym for 'arouse'.","[""combination"",""conceive"",""secretary"",""calm""]","calm","ant","arouse"
"Choose the antonym for 'arrogance'.","[""baleful"",""dingy"",""humility"",""dilemma""]","humility","ant","arrogance"
"Choose the antonym for 'artful'.","[""sincere"",""insolent"",""diligent"",""debut""]","sincere","ant","artful"
"Choose the antonym for 'article'.","[""repulsive"",""intentional"",""whole"",""conserve""]","whole","ant","article"
"Choose the antonym for 'articulate'.","[""inarticulate"",""callous"",""yacht"",""amend""]","inarticulate","ant","articulate"
"Choose the antonym for 'artificial'.","[""authentic"",""witty"",""confront"",""according""]","authentic","ant","artificial"
"Choose the antonym for 'artisan'.","[""ascetic"",""dishevelled"",""novice"",""atrocious""]","novice","ant","artisan"
"Choose the antonym for 'ascendancy'.","[""awe"",""submissiveness"",""nullify"",""inane""]","submissiveness","ant","ascendancy"
"Choose the antonym for 'ascent'.","[""precarious"",""artificial"",""descent"",""exile""]","descent","ant","ascent"
"Choose the antonym for 'ascetic'.","[""indulgent"",""alliteration"",""infamy"",""fluctuate""]","indulgent","ant","ascetic"
"Choose the antonym for 'askance'.","[""queasy"",""coax"",""approvingly"",""condemn""]","approvingly","ant","askance"
"Choose the antonym for 'aspiration'.","[""apathy"",""matte"",""dwindle"",""aggressor""]","apathy","ant","aspiration"
"Choose the antonym for 'assemble'.","[""scatter"",""jury"",""rhyme"",""contrast""]","scatter","ant","assemble"
"Choose the antonym for 'assertive'.","[""submissive"",""novice"",""snivel"",""waver""]","submissive","ant","assertive"
"Choose the antonym for 'asset'.","[""burden"",""adulation"",""hind"",""abode""]","burden","ant","asset"
"Choose the antonym for 'assistance'.","[""hindrance"",""dictate"",""token"",""pretence""]","hindrance","ant","assistance"
"Choose the antonym for 'assortment'.","[""uniformity"",""impartial"",""foreign"",""fissure""]","uniformity","ant","assortment"
"Choose the antonym for 'assuage'.","[""atmosphere"",""concentrated"",""adulation"",""aggravate""]","aggravate","ant","assuage"
"Choose the antonym for 'astonishment'.","[""obliging"",""inconsequential"",""auspicious"",""composure""]","composure","ant","astonishment"
"Choose the antonym for 'astounding'.","[""conceal"",""weary"",""ordinary"",""chastise""]","ordinary","ant","astounding"
"Choose the antonym for 'asunder'.","[""drowsy"",""desperate"",""together"",""pungent""]","together","ant","asunder"
"Choose the antonym for 'atrocious'.","[""brazen"",""exorbitant"",""audition"",""excellent""]","excellent","ant","atrocious"
"Choose the antonym for 'attempt'.","[""intrepid"",""abandonment"",""aesthetic"",""omen""]","abandonment","ant","attempt"
"Choose the antonym for 'attentive'.","[""intricate"",""abominable"",""inattentive"",""sincerely""]","inattentive","ant","attentive"
