word,def,syn,ant,example
composed,Calm and in control of your feelings in a difficult situation,calm; collected; self-controlled,agitated; nervous; flustered,"When the power failed in the hall, the headteacher kept her voice steady and told everyone what to do."
composure,The ability to stay calm and in control when something is worrying,self-control; calmness; poise,panic; anxiety; agitation,"Despite the noise and the flashing lights, the driver kept her nerve and brought everyone to safety."
comprehend,"To understand something fully, including what it really means",understand; grasp; make sense of,ignore; overlook; doubt,"Even after reading it three times, I still could not see what the writer meant by that last sentence."
conceive,"To imagine an idea in your mind, or to become pregnant",imagine; envisage; devise,ignore; reject; discard,"She dreamed up an idea for a recycling scheme, and the council agreed to pay for it."
concentrated,Giving all your attention and energy to a single task,intense; absorbed; dedicated,scattered; inattentive; diffuse,"He gave all his attention to the model bridge, ignoring the noise of the crowded room."
concerted,Planned and carried out together by a group of people,coordinated; joint; deliberate,separate; individual; random,It took a planned effort by the whole staff to finish the school show on time.
conciliatory,Trying to make peace by being friendly and giving way,peaceful; appeasing; friendly,aggressive; hostile; confrontational,"He smiled, said sorry and offered to share his sweets, so the class soon stopped whispering."
concise,"Giving the facts clearly and briefly, with no extra words",brief; succinct; compact,wordy; rambling; lengthy,His reply was so short that we still do not know what the coach wants us to do.
conclude,"To bring something to an end, or to reach a final opinion",finish; end; decide,start; begin; continue,"After two hours of talking about the trip, the headteacher made her final decision and let everyone go home."
conclusive,"Saying the last word on a matter, so that no further argument is possible",definitive; decisive; final,doubtful; uncertain; unclear,"The photographs were conclusive proof that our team had won, so nobody could argue with the result."
concoct,"To invent a story, plan or excuse, usually by combining strange or unlikely ideas",devise; fabricate; invent,reveal; expose; uncover,"Sam managed to concoct an extraordinary excuse for missing his homework, but his teacher was not fooled for a second."
condescension,"Speaking to people as though you are cleverer or better than they are, which they find insulting",arrogance; pomposity; snobbery,humility; respect; modesty,Her teacher disliked her condescension towards the younger pupils and asked her to treat them with kindness instead.
condone,To accept or allow something bad to happen without objecting to it,tolerate; overlook; excuse,condemn; object; protest,"The head teacher refused to condone the children throwing rubbish in the corridor, and told them to clear it up."
conducive,"Creating conditions that make something likely to happen, especially a good result",helpful; favourable; supportive,harmful; detrimental; unfavourable,"A tidy, well-lit desk is conducive to good handwriting, so our teacher always clears the space before we start."
confer,To hold a formal meeting in which a matter is discussed and a decision reached,consult; deliberate; discuss,withhold; refuse; postpone,The head teacher invited the school council to confer with her about the new playground rules before the vote.
conferred,"Discussed a matter with others in order to reach a decision, in the past",discussed; deliberated; consulted,withheld; refused; postponed,"After the two head teachers conferred at breakfast, they agreed to share one set of sports kit."
confide,To tell somebody a secret or private feeling because you trust them,reveal; disclose; admit,withhold; conceal; hide,"She confided in her best friend that she was nervous about the secondary school interview, which helped her relax."
confine,To keep somebody or something inside a limited space or within strict boundaries,restrict; limit; enclose,release; untie; loosen,"During the exam, candidates must confine their writing to the box marked on the front of the paper."
confiscate,To take away somebody's property because a rule has been broken,seize; impound; remove,return; restore; surrender,"Our teacher will confiscate any phone that rings during the lesson, so please switch yours off before you sit down."
confound,"To confuse somebody's mind so completely that they cannot think straight, or to spoil their plans unexpectedly",confuse; baffle; perplex,clarify; reassure; satisfy,"The hardest question confounded everyone, and half the class carried on writing even after the bell rang."
congenial,"Pleasant and friendly to be with, especially because you share the same interests and sense of fun",agreeable; friendly; sociable,unfriendly; aloof; hostile,Our new head teacher is so congenial that even the shy pupils ask her questions at break time.
congested,So crowded with traffic or people that moving through it is difficult and slow,overcrowded; jammed; crammed,clear; empty; uncrowded,By eight o'clock the road outside school is so congested that we are often ten minutes late for registration.
connoisseur,"A person who knows a great deal about a particular subject, such as art, wine or music",expert; specialist; authority,amateur; novice; beginner,"My uncle is a real connoisseur of jazz, and he can name the band playing from just three notes."
consensus,"The general view shared by a whole group, reached once everybody accepts the same idea",agreement; accord; common ground,conflict; division; argument,"After a long talk about the trip, the class reached a consensus and chose the museum instead of the cinema."
consent,"Permission for something to happen, given by the person who has the authority to allow it",permission; approval; assent,refusal; objection; protest,The school needs parental consent before any pupil may take part in the visit to France next July.
conservation,Protecting the natural world and using its resources carefully so that they are not wasted or lost,protection; preservation; management,waste; destruction; neglect,Our school holds a conservation week so that pupils learn how little water and electricity we really need.
consideration,"The careful thought you give to a decision before you make it, weighing up the good and bad points",deliberation; reflection; thought,haste; carelessness; indifference,The committee gave the proposal serious consideration before agreeing that the sports day should go ahead.
consistency,"Always being the same in quality, amount or behaviour, so that nothing changes from one time to the next",steadiness; regularity; uniformity,variation; unevenness; unpredictability,His marking shows real consistency: every essay he writes is neatly laid out and fully finished.
conspire,To plan secretly with other people to do something wrong or harmful,plot; scheme; collude,thwart; expose; prevent,"The two brothers conspired to give their mother a fake present, and hid the wrapping paper under the stairs."
constant,"Continuing all the time without a break, or remaining at the same level throughout",continuous; steady; unchanging,occasional; irregular; changeable,"There was constant chatter in the corridor before the bell, and the teacher looked quite cross."
constrain,To force somebody to behave in a particular way or keep within strict limits,restrict; limit; compel,liberate; free; permit,"Our teacher constrained the length of each essay to one page, so nobody could ramble forever."
constraint,A rule or limit that stops somebody doing what they would like to do,restriction; limitation; restraint,freedom; liberty; permission,"One real constraint on our project is money, as the school will only pay for the materials."
construe,"To understand a remark or a piece of writing in one particular way, rather than in any other",interpret; read; understand,misread; misunderstand; ignore,Some pupils construed my joking comment about the exam as a serious warning.
consume,"To eat, drink or use something such as food, fuel or paper until none or very little is left",devour; absorb; use up,save; store; create,Our class has consumed three whole packets of biscuits waiting for the weather to improve.
contagious,"Spreading easily from person to person, like a cold, or like laughter in a crowded room",infectious; catching; communicable,immune; resistant; harmless,"By Friday the cough had proved contagious, and our form tutor sent three of us home early."
contemptuous,"Showing that you think somebody is worthless, with a strong feeling of dislike and disrespect",scornful; dismissive; haughty,respectful; admiring; polite,"Several fans were contemptuous of the referee, believing the second goal should have been ruled out."
contend,"To claim strongly that something is true, or to try hard to win something from other people",argue; assert; compete,concede; agree; surrender,The two pupils contended fiercely for the last biscuit until the teacher stepped in and broke it.
content,"Pleased and satisfied with what you have, rather than wanting anything more",satisfied; pleased; gratified,unhappy; uneasy; frustrated,"We were quite content to walk instead of paying for a taxi, and saved enough for a hot drink."
contentious,"Causing strong disagreement and heated argument, especially between people with different opinions",disputed; controversial; debatable,agreed; undisputed; peaceful,"Moving the footpath across the field proved contentious, so the council held three public meetings."
contest,A competition in which people or teams try to do better than each other in order to win a prize,competition; tournament; championship,cooperation; teamwork; collaboration,"Our house team won the quiz contest by three points, and everyone cheered for the whole of assembly."
contorted,"Twisted or bent out of the normal shape, so that it looks strange and forced",twisted; distorted; warped,straight; even; natural,He made such a contorted face when the unexpected visitor walked in that we all burst out laughing.
contract,A written legal agreement stating what two people or firms will do for each other,agreement; deal; arrangement,breakdown; cancellation; withdrawal,"Our group read every clause of the contract before signing, because our parents had to agree too."
contradict,"To say the opposite of what somebody has said, so that the two statements cannot both be true",oppose; rebut; deny,confirm; agree; support,"The two boys' stories contradicted each other, so the teacher asked the whole class to stay calm."
contribute,"To give money, time or help towards something in order to make it happen or succeed",donate; supply; add,withhold; receive; deduct,She contributed a huge box of biscuits to the bring-and-buy sale and raised money for the animal shelter.
contrite,"Full of regret and sorrow because of something bad you have done, and eager to make amends",remorseful; regretful; repentant,remorseless; unapologetic; defiant,"A pupil who admits being wrong without making excuses is showing a contrite attitude, which a teacher always respects."
contrition,"The deep feeling of sorrow that follows doing something wrong, and makes you eager to put it right",remorse; repentance; regret,callousness; indifference; satisfaction,She showed real contrition by writing to the pupil she had upset and asking to be friends again.
contrived,"Deliberately put together to look unplanned, although everything has really been carefully arranged",artificial; staged; unconvincing,spontaneous; genuine; natural,His excuse for forgetting his book was so contrived that nobody in the class believed a word of it.
conundrum,"A tricky problem or question that nobody can solve, and that is hard to explain even afterwards",riddle; puzzle; mystery,solution; answer; simplicity,Why the old pipes leak only in winter is such a conundrum that even the caretaker cannot explain it.
convenient,"Making something easier or quicker to do, or fitting in well with your plans and needs",handy; suitable; practical,awkward; troublesome; unsuitable,"It was convenient to finish our science experiment early, so we used the spare lesson to tidy the lab."
convert,"To turn something into a different form or purpose, or to make somebody take up a new religion",transform; alter; change,retain; preserve; keep,We converted an old shed at the bottom of the garden into a workshop for making models.
convey,"To carry an idea, feeling or message from one person to another so that it is understood",communicate; transmit; relay,withhold; suppress; conceal,"A picture can convey an idea to someone who cannot read very well, which is why our posters include symbols."
conveyor,"A long moving platform or frame that carries goods, such as parcels or bottles, from one place to another",belt; transporter; carrier,handcart; trolley; barrow,"A conveyor moved the hundreds of packed lunches along, and each of us took one as it went past."
convict,"To find somebody guilty of a crime in a court of law, and order them to be punished",condemn; sentence; judge,acquit; absolve; pardon,"Two shopkeepers said they saw the same man empty the register, which was enough to convict him in the end."
convince,To make somebody believe something is true by giving good reasons or proof,persuade; reassure; satisfy,doubt; oppose; waver,A good diagram convinced the class that the river changes course twice in one year.
convoluted,So involved and difficult to follow that even an expert struggles to explain the process clearly,complex; intricate; involved,simple; clear; straightforward,His explanation of the rules was so convoluted that half of us gave up and copied someone else's notes.
copious,Existing in such large amounts that there is far more than you could ever need or use,plentiful; abundant; ample,scarce; meagre; limited,"The runner took copious notes during the talk, and afterwards she could answer every question."
corpse,"The dead body of a person or animal, especially one found after an accident",remains; carcass; body,living; alive; breathing,"We had to turn away when the guide opened the case, because the shrivelled corpse inside was far worse than we expected."
corroborate,"To show that somebody else's statement or evidence is true, by supporting it with your own proof",confirm; substantiate; strengthen,refute; undermine; oppose,"Her measurements corroborated the report from the weather station, so the head teacher used her figures in the newsletter."
corrosive,"Able to gradually destroy or damage a material by chemical action, as acid or rust does",destructive; damaging; caustic,harmless; inert; safe,"The damp weather turned the railings rusty, and the council used a corrosive chemical to strip the old paint."
counterargument,A point or set of reasons put forward in opposition to another view,objection; rebuttal; counterpoint,agreement; assent; support,Miss Ahmed asked us to offer a counterargument before the team started writing its final response.
courageous,Showing great bravery when facing danger or difficulty,brave; bold; valiant,cowardly; timid; fearful,The courageous pupil volunteered to read her poem aloud to the whole hall.
crass,"Insensitive and thoughtless, especially towards other people's feelings",insensitive; tactless; clumsy,tactful; sensitive; considerate,It was crass of him to laugh when the new pupil was still nervous on her very first day.
craving,A strong feeling of needing or wanting something very much,longing; yearning; urge,indifference; disinterest; satisfaction,"After the concert, Sam felt a craving to play the piano his sister had left behind."
credence,The giving of belief to a statement without firm proof,acceptance; belief; trust,doubt; scepticism; uncertainty,Nobody gave credence to the rumour until the head teacher stood up and confirmed it.
credibility,The quality of being believed and trusted as true and reliable,trustworthiness; believability; reliability,doubt; scepticism; unreliability,The young witness lost all her credibility after giving the police two different stories.
credible,Able to be believed or accepted as true,believable; trustworthy; plausible,doubtful; unbelievable; dubious,At first the children invented a credible story about the noises they had heard in the corridor.
credit,Praise given to someone for something they have done well,praise; acclaim; commendation,blame; criticism; disgrace,The head teacher gave Tom credit for organising the charity week all by himself.
credulous,Too ready to believe things that are not true,gullible; naive; unsuspecting,sceptical; doubtful; suspicious,The young shoppers were credulous about the man outside the station offering free sweets.
creek,A small narrow stream of water running through the countryside,stream; brook; rivulet,valley; gorge; mountain,"We followed the creek down to the ford, then splashed across to reach the meadow."
criterion,A fixed test used to judge whether somebody or something has succeeded,standard; measure; benchmark,guesswork; whim,Getting to school on time was the criterion our class used for winning a place on the team.
crucial,So important that it affects the whole result,vital; essential; critical,minor; trivial; unimportant,It is crucial to arrive by nine if you want a hot lunch on Thursday.
cryptic,"Meant to be puzzling, with a hidden or unclear meaning",mysterious; obscure; puzzling,clear; plain; obvious,The new maths questions were so cryptic that half the class had to ask for help.
culpable,Guilty of doing something wrong or harmful,blameworthy; guilty; at fault,innocent; blameless; faultless,Nobody believed the youngest child was culpable for the broken window in the corridor.
cultivate,To prepare land so that plants and crops will grow on it,till; farm; tend,abandon; neglect; waste,Growers cultivate the strip of land beside the river to bring in a barley harvest each summer.
cumbersome,So heavy or awkward that it is hard to move or handle,awkward; unwieldy; clumsy,light; handy; compact,We had to move the piano twice because the old box was so cumbersome to handle.
cunning,Clever at getting what you want by tricking people,sly; crafty; devious,honest; straightforward; sincere,That cunning sales assistant promised free tickets and then asked for a signature.
curate,To select and arrange items for a display or a collection,select; arrange; organise,scatter; discard; ignore,The pupil who will curate our museum display has already chosen the old photographs.
curb,To stop something from becoming worse or going any further,restrain; check; contain,encourage; promote; fuel,It is hard to curb your excitement when the class is told about the trip.
curious,Eager to know or find out about something,inquisitive; questioning; nosy,indifferent; apathetic; dismissive,The curious class crowded round the old robot and asked twenty questions about it.
cursory,"Done quickly, without paying attention to detail",brief; hasty; superficial,thorough; detailed; careful,"With exams tomorrow, a cursory look at the notes was never going to be enough."
custodian,A person whose job is to look after a building or valuable things,keeper; guardian; caretaker,visitor; trespasser; guest,The custodian of the museum checks the alarms before the doors open each morning.
custom,A habit or tradition that a group of people follow over many years,tradition; practice; convention,innovation; novelty; fashion,It is custom at our school to shake hands with the head teacher each morning.
customary,"Usual, and done as a normal part of everyday life",usual; normal; typical,unusual; rare; abnormal,It was customary for our choir to sing at the end of every term.
cynic,A person who expects the worst from other people,sceptic; scoffer; doubter,optimist; idealist,No one liked the cynic who laughed every time somebody offered to help.
dale,A long narrow valley between two hills,valley; hollow; glen,summit; ridge; plateau,The walk took us along a dale where sheep grazed quietly beside the stone walls.
daring,Ready to take a risk and try something bold and new,bold; brave; audacious,cautious; timid; fearful,It was daring of you to swim in the cold river before breakfast on Saturday.
darn,To mend a hole in a garment by sewing it up,mend; patch; repair,damage; ruin; tear,Grandma showed me how to darn the hole in the sleeve of my jumper.
daunt,To make somebody lose their courage and confidence,intimidate; deter; unnerve,encourage; embolden; reassure,The huge exam hall and the rows of desks daunted Mia until her teacher smiled.
debacle,A complete and sudden failure or disaster,fiasco; shambles; disaster,success; triumph; victory,The end-of-year trip became quite a debacle when the rain washed away the games.
debate,A formal discussion in which people give opposing views,discussion; argument; dispute,agreement; silence; accord,"In the school debate, Priya argued well and Tom answered her points calmly."
debilitate,To make somebody weak and unable to act,weaken; enfeeble; incapacitate,strengthen; revive; invigorate,"Months of illness debilitated Dad, and he needed a stick to walk to school."
debrief,To question someone about a job or event that has just finished,question; interrogate; review,conceal; deceive; withhold,"After the match, the coach called the players in to debrief them on their mistakes."
debris,Scattered pieces left over after something has been broken or destroyed,rubble; fragments; wreckage,intact; whole; undamaged,The council cleared the debris left on the road after the storm had brought down trees.
debunk,To show that a story or belief is not true,expose; discredit; disprove,support; confirm; promote,Our school project tried to debunk the story that hair grows back thicker after cutting.
decadent,"Falling into decline in standards, often through luxury and pleasure",dissolute; self-indulgent; profligate,ascetic; austere; virtuous,The film showed a decadent kingdom where the palace walls were gold and nobody worked.
decency,Polite and respectful behaviour towards other people,courtesy; propriety; respect,rudeness; disrespect; vulgarity,Asking the dinner lady how her day had been was a simple act of decency.
decipher,To work out the meaning of something written in a confusing code,decode; crack; unravel,encode; confuse; jumble,"With the help of a magnifying glass, Fatima tried to decipher the strange writing in the margin."
decisive,Able to make clear choices quickly and without doubt,firm; resolute; definite,indecisive; hesitant; doubtful,"The captain was decisive, telling the goalkeeper exactly where to send the ball."
declare,To state something officially or in a firm way,announce; proclaim; state,conceal; withhold; deny,The head teacher declared the results of the writing competition in front of the whole school.
decline,"To become less, or to politely say you will not do something",decrease; reduce; refuse,increase; grow; accept,Sales of fizzy drinks declined sharply after the shop stopped selling them at break time.
decorum,Polite and respectful behaviour in a formal place,dignity; propriety; manners,rudeness; disorder; vulgarity,There was no decorum at all while the new pupils shouted across the dining hall.
decree,An official order given by someone in authority,order; command; edict,request; suggestion; permission,"By royal decree, no heavy lorries may pass through the village square after dark."
deduce,To reach an answer by thinking carefully about the facts,conclude; infer; reason,guess; overlook,From the mud on her boots we deduced that Priya had already been in the garden.
defame,To say bad things about somebody that are not true,slander; libel; disparage,praise; vindicate; commend,The newspaper refused to print the letter because it would defame an innocent family.
deference,Polite respect shown to someone in a position of authority,respect; homage; courtesy,insolence; disrespect; contempt,The children showed deference by standing up immediately when the judge came into court.
defiance,Openly refusing to obey a rule or accept authority,rebellion; resistance; cheek,obedience; compliance; submission,The pupils showed open defiance by refusing to hand in their confiscated mobile phones.
defunct,"No longer existing or working, having stopped for good",obsolete; dead; discontinued,current; active; modern,The museum keeps a defunct printing press that was used in the town until 1985.
degenerate,"Changed for the worse, especially in behaviour or quality",debased; corrupt; depraved,noble; upright; pure,His degenerate behaviour in the queue cost him a place in the school team.
degrade,To reduce the quality or value of something,lower; spoil; downgrade,upgrade; improve; enhance,Dumping old paint in the river would degrade the water and kill the fish.
deject,To make a person feel sad and low-spirited,dishearten; dispirit; sadden,cheer; encourage; elate,"After the team lost the final, the disappointed players sat in silence while the coach tried to raise their spirits again."
delectable,"Very pleasant to look at, hear or taste",appealing; agreeable; charming,repulsive; distasteful; hideous,"We were given a plate of freshly baked scones, and their wonderful smell drew us to the kitchen at once."
delightful,"Pleasing and happy to experience, making someone feel glad",charming; pleasant; gratifying,dismal; miserable; grim,A gentle breeze came through the open window and the birdsong outside was so lovely that everyone smiled.
delineate,"To describe or mark something out clearly, especially in detail",outline; specify; explain,blur; obscure; muddle,"The architect drew a careful plan of the new sports hall, showing exactly where every wall would stand."
delirious,"Wildly excited, so overjoyed that one can hardly think straight",ecstatic; overjoyed; rapturous,miserable; gloomy; subdued,"On hearing the surprise announcement, the pupils shouted, cheered and threw their hats in the air."
delude,To deceive someone by making them believe something which is not true,deceive; mislead; dupe,enlighten; inform; correct,"The salesman persuaded us that the used car was faultless, when in fact he had hidden its real problems."
deluge,"A great downpour of rain, or a flood of questions and complaints",flood; downpour; torrent,drought; drizzle; sprinkle,"The storm arrived without warning, and within minutes the gutters overflowed and cars stood in deep water."
demeanour,"The way a person behaves and carries themselves, especially in public",manner; bearing; air,immorality; misconduct; impropriety,"Everyone noticed his calm, confident way of walking into the hall to meet the new headteacher."
demote,To move a person to a lower rank or a less important position,downgrade; relegate; lower,promote; upgrade; elevate,"After the restructure, Mr Ali was given a smaller class, which many staff felt was a step backwards."
denounce,To declare publicly that something is wrong and to attack it in strong words,condemn; criticise; denigrate,praise; commend; acclaim,"At the public meeting, angry parents fiercely attacked the plan to sell the playing field."
deny,"To state firmly that something is not true, or to refuse to let someone have it",disown; repudiate; refuse,admit; acknowledge; grant,"When the teacher asked who had eaten the biscuits, he flatly said that it had not been him."
depict,To show or represent someone or something in words or pictures,portray; illustrate; sketch,conceal; distort; misrepresent,"In her diary, Amy captured the noisy playground in vivid detail, from the swings to the boys' football."
deplore,To feel and express deep sorrow or regret about something sad,lament; mourn; regret,rejoice; celebrate; applaud,Residents filled the town hall to say how upset they were about the closure of the local hospital.
deploy,"To put troops, money or equipment into effective use",utilise; position; employ,withdraw; abandon; neglect,"During the floods, the council used its small army of volunteers to carry food to cut-off villages."
deposit,"A sum of money paid into a bank account, or a layer of matter left behind",payment; instalment; layer,withdrawal; removal; extraction,"I paid my club membership money into the bank this morning, so the coach is expecting me at training."
depot,"A building where goods are stored, or a place where buses are kept",warehouse; storehouse; yard,shop; outlet; boutique,"Boxes of spare parts are stacked there, waiting until a lorry comes to take them away."
depraved,"Extremely wicked or morally corrupt, with no shame left at all",wicked; immoral; corrupt,decent; moral; upright,The story tells how the evil official cheated poor families out of their savings for years on end.
deprecate,"To speak against something, saying that it deserves little respect or value",disparage; disapprove; belittle,praise; approve; applaud,Local newspapers have long roundly criticised the council for wasting money on an empty car park.
depressing,"Causing sadness or hopelessness, especially in a situation or piece of news",gloomy; sombre; joyless,cheerful; uplifting; heartening,"Grey clouds hung over the playing fields for a week, and the endless rain made everyone long for summer."
derail,To make a plan or process go badly wrong or off course,disrupt; hinder; obstruct,advance; facilitate; promote,"Late deliveries delayed the building work, so the new roof was not ready for the autumn term."
deranged,"Wildly out of one's mind, behaving crazily in an unreasonable way",insane; crazed; unhinged,sane; sensible; rational,"She began screaming at the television and pulling her hair, which worried everyone in the room."
deride,To mock someone publicly by laughing at them and treating them with contempt,mock; ridicule; taunt,praise; admire; respect,"Rather than join the others in laughing, Priya spoke up and asked them to stop."
derision,Ridicule shown by mocking laughter or contemptuous remarks,ridicule; mockery; scorn,admiration; respect; deference,"When she read her poem out, some boys sniggered, which filled the room with cruel amusement."
derisive,"Showing mockery and contempt, as though laughing at someone",mocking; sardonic; taunting,respectful; earnest; sincere,The crowd let out a jeer as the clumsy defender tripped over his own feet again.
derivative,"Copied or taken from another work, and therefore not original or inventive",borrowed; imitative; plagiarised,original; inventive; fresh,"The painting seemed to the panel to copy an older master, so the young artist felt crushed."
description,"A detailed account of what a person, place or thing is like",account; portrayal; depiction,mystery; concealment; secrecy,"The website lists every walking route in detail, including distances, hills and where to rest."
desecration,Deliberate disrespect shown to something sacred or greatly respected,profanation; violation; disgrace,reverence; respect; veneration,"The vandals broke the old church windows, and the whole town was shocked by the damage."
desolate,"Empty and cheerless, with hardly anything there at all",bleak; barren; deserted,lush; thriving; fertile,"We walked for hours across the empty moor, where not a single tree or farm could be seen."
despondent,"Feeling deep discouragement and helplessness, with no hope of anything improving",disheartened; downcast; crestfallen,hopeful; cheerful; optimistic,"After weeks of losses, the captain sat in the empty changing room staring at his boots."
despot,A ruler who holds complete power and governs with no restraint or kindness,tyrant; dictator; oppressor,democrat; liberator; philanthropist,"Anyone who disagreed with the king was imprisoned, and no one dared to speak freely."
desultory,Moving from one activity to another lazily and without a plan or real interest,unmethodical; haphazard; aimless,systematic; methodical; purposeful,Their discussion drifted from football to music to lunch and never settled on anything useful.
detached,"Not closely involved in something, and able to stay calm and unemotional about it",aloof; unemotional; uninvolved,involved; emotional; attached,"During the discussion she stayed cool and answered questions in a calm, matter-of-fact way."
detain,"To keep someone from leaving, usually by holding them for a short time",restrain; hold; delay,release; free; liberate,The officers kept the driver waiting at the roadside while they checked his papers.
determine,"To make a firm decision about something, or to be the cause of a result",decide; resolve; establish,hesitate; dither; waver,Years of practice were the thing which finally led the team to win the trophy.
deterrent,Something that discourages a person from doing a particular thing,hindrance; impediment; discouragement,incentive; inducement; encouragement,CCTV cameras were fitted outside the shops to put off anyone planning to steal.
detractors,"People who speak against a person, plan or idea, usually by criticising it",critics; opponents; objectors,champions; admirers; well-wishers,"Few people backed the new rule at first, but it seems to be working well now."
devious,"Clever and sly in a dishonest way, in order to get what you want",cunning; sly; crafty,honest; straightforward; open,"The salesman was careful never to look at the price tag, in case he was asked about it."
devise,"To invent or plan something clever, especially a solution to a problem",invent; plan; contrive,neglect; abandon; overlook,Our group thought of a clever way to record the results without any extra paper.
devote,"To give your time, effort or money wholly to a person or purpose",dedicate; commit; apply,neglect; ignore; divert,"After retiring, he gives every Tuesday to walking dogs for a local charity."
devour,"To eat something quickly and greedily, as if very hungry indeed",gobble; gulp; consume,nibble; ration; savour,"After the long walk, the hikers attacked their packed lunch beside the river."
dexterous,"Skilful and nimble in using the hands or body, especially when performing tasks",adept; nimble; skilled,clumsy; awkward; unskilled,A potter's hands move so smoothly that the clay seems to rise on its own.
diabolical,"Extremely wicked or cruel, with a fiendish and calculated quality about it",devilish; demonic; wicked,kind; gentle; merciful,"The villain's plan was perfect in its cruelty, and the whole village trembled at the thought."
diagnose,To identify the cause of an illness or problem after careful examination,identify; detect; recognise,ignore; overlook; confuse,Our headmistress looked into the problem and found that the heating system had broken down.
diatribe,"A long, angry and often unfair speech attacking someone or something",tirade; rant; harangue,compliment; praise; tribute,"Rather than explain her plan, the manager simply attacked the committee's work in public."
diction,The words a writer or speaker chooses and the style in which they are used,wording; phrasing; expression,slang; jargon; gibberish,"Her clear, simple way with words meant even the youngest child could follow the story."
diffident,"Shy and unsure of oneself, especially when talking to other people",shy; timid; self-conscious,confident; assertive; outgoing,"Too embarrassed to speak, she stood by the door and let others go first."
diffuse,"To spread out widely over a large area, or to let a smell or light through",spread; disperse; scatter,concentrate; gather; condense,Sunlight poured through the window and filled every corner of the old kitchen.
digest,To break down food in the stomach so that the body can use it,absorb; assimilate; consume,starve; expel; discard,Fat and protein take much longer to break down in the body than fruit and vegetables do.
digression,A passage in speech or writing that strays away from the main subject,aside; tangent; excursion,summary; outline; abridgement,"We thought the talk was about science, but the teacher chatted about football for ages."
dim,"Not brightly lit, and therefore hard to see clearly",faint; shadowy; murky,bright; brilliant; glaring,"The path ahead was hard to see, so we walked slowly and used a torch."
diminution,"A reduction in size, amount or importance",decrease; reduction; shrinkage,increase; growth; expansion,"The council faced a sharp diminution in funding, so several community projects had to be cancelled before the end of the year."
disappointed,Let down because hopes or expectations have not been met,let down; frustrated; thwarted,delighted; pleased; gratified,"We were disappointed when the school trip was cancelled at the weekend, as we had already packed our sandwiches and coats."
disband,To break up an organised group so that it no longer exists,dissolve; break up; dismiss,form; establish; assemble,"The coach decided to disband the under-11 football team after only one season, saying that nobody had shown enough commitment."
discern,To notice or work out something that is small or not obvious,detect; notice; perceive,overlook; ignore; miss,"Even in the busy playground, Ms Patel could discern a worried expression on Amy's face and knew something was wrong."
discontent,A feeling of unhappiness because you are not satisfied with something,unhappiness; dissatisfaction; frustration,contentment; satisfaction; happiness,There has been growing discontent among parents about the long queues at the school gates every single morning.
discreet,Careful not to attract attention or to reveal private information,tactful; subtle; understated,obvious; blatant; showy,A discreet note from the head teacher explained the change to the playground arrangements without embarrassing anybody involved.
discrepancy,A difference between two things that should be the same,inconsistency; mismatch; divergence,agreement; match; similarity,The auditor found a discrepancy between the school's published budget and the actual amount of money in its account.
discretionary,"Available because someone has chosen to allow it, not because it is required",optional; elective; voluntary,compulsory; obligatory; mandatory,"The grant covers travel costs, but the purchase of new computer games for the library is entirely discretionary this year."
discriminating,Able to tell subtle differences between similar things,perceptive; shrewd; astute,indiscriminate; unselective; accepting,"Choosing a captain for the team needs a discriminating eye, because the coaches must weigh up many different qualities."
discursive,Talking in a way that wanders from one subject to another,rambling; digressive; meandering,direct; concise; focused,"Mr Ali's discursive lecture wandered from Roman roads to his own holiday, so half the class stopped taking notes."
disdain,A feeling that something is worthless and deserves no respect,contempt; scorn; derision,respect; admiration; esteem,"He glanced at the ancient cracked boots on display and viewed them with open disdain, muttering that they were rubbish."
dishearten,To make someone lose their enthusiasm or confidence,discourage; dispirit; depress,encourage; inspire; motivate,"Being left out of the team for three matches began to dishearten Joel, though his friends kept telling him to keep training."
disinclination,A lack of willingness or enthusiasm to do something,unwillingness; reluctance; hesitancy,willingness; eagerness; keenness,"Her disinclination to join the drama club surprised nobody, since she has never once volunteered to perform on stage."
disintegrate,To break slowly into small pieces or come apart,crumble; fall apart; break down,assemble; hold together; strengthen,"The old shed at the bottom of the garden began to disintegrate, so Dad insisted we kept well away from its door."
disinterested,Not caring about which side wins or loses,impartial; neutral; unbiased,partial; biased; self-serving,"Mr Hoyle, a disinterested judge, refused to say which finalist he preferred and simply scored each performance."
dismantle,"To take something apart, piece by piece",disassemble; strip down; undo,construct; erect; put together,"In technology lessons we had to dismantle an old clock safely, lay every part on a tray, then label each one."
disparage,"To speak critically of something, saying it is not good enough",belittle; criticise; denigrate,praise; compliment; acclaim,"Rather than disparage the younger players' efforts, the coach highlighted their improvement and promised them more matches next season."
disparate,"Very different from one another in type, size or quality",dissimilar; unlike; mixed,alike; comparable; uniform,"The teacher gathered a disparate collection of objects from the cupboard, including a bicycle bell and a plastic dinosaur."
disparity,A great and unfair difference between two groups or things,inequality; imbalance; gap,equality; uniformity; fairness,The report highlighted a wide disparity in exam results between pupils receiving free school meals and those whose families could pay for extra tuition.
dispassionate,Staying calm and showing no strong emotion,cool; composed; level-headed,emotional; heated; angry,"Despite the furious complaints from the crowd, the linesman stayed dispassionate and explained his decision calmly to the referee."
dispel,To make a thought or feeling go away from someone's mind,banish; remove; allay,arouse; stir; provoke,The head teacher's cheerful announcement helped dispel the rumours that our school would lose its playing fields to houses.
