word,def,syn,ant,example
sage,A very wise person; also wise,wise person; scholar,fool; novice,The young king sought advice from an old sage.
subtle,Not obvious; delicate or clever,delicate; understated,obvious; blatant,There was a subtle change in her tone.
vain,Excessively proud of appearance or abilities,conceited; self-important,modest; humble,He was too vain to admit that he had made a mistake.
deficient,Not having enough of something necessary,lacking; inadequate,sufficient; abundant,The soil was deficient in important nutrients.
warp,To bend or twist out of shape,distort; bend,straighten; correct,Moisture can warp wooden boards.
lean,To slope or rest against something; also thin,tilt; incline,straighten; stand upright,Do not lean too far over the railing.
oodles,A very large amount,lots; abundance,scarcity; little,We had oodles of time before the train arrived.
populous,Having a large population,crowded; densely populated,sparsely populated; deserted,London is a populous city.
wavy,Having a series of curves,undulating; rippled,straight; flat,"She has long, wavy hair."
taut,Stretched tight,tight; tense,slack; loose,The rope was pulled taut.
radiant,Shining brightly; showing happiness,glowing; brilliant,dull; gloomy,The bride looked radiant.
gulp,To swallow quickly or in large amounts,swallow; devour,sip; nibble,He gulped down the water after the race.
tint,A slight shade of colour,shade; hue,—,The sky had a faint pink tint.
jubilant,Extremely joyful,joyful; triumphant,miserable; dejected,The jubilant supporters celebrated the victory.
dismay,Distress caused by something unexpected,distress; alarm,delight; reassurance,"To her dismay, the keys were missing."
gleeful,Extremely happy or excited,delighted; jubilant,sad; miserable,The children were gleeful when school closed early.
glum,Sad and gloomy,gloomy; miserable,cheerful; joyful,He looked glum after losing the match.
ajar,Slightly open,partly open; unclosed,closed; shut,She left the door ajar.
scruffy,Untidy or shabby,untidy; shabby,neat; smart,The scruffy dog needed a bath.
legend,A traditional story; also a very famous or admired person,myth; traditional tale,fact; history,"According to legend, treasure is buried beneath the castle."
caption,Words explaining a picture or image,legend; description,—,The caption beneath the photograph explained where it was taken.
chortle,To laugh with delight,chuckle; laugh,sob; weep,He chortled with delight at the joke.
exclaim,To cry out suddenly,cry out; shout,whisper; murmur,'Watch out!' she exclaimed.
clamour,A loud mixture of voices or demands,uproar; din,silence; quiet,A clamour of excited voices filled the hall.
whisper,To speak very quietly,murmur; breathe,shout; yell,She whispered the secret into my ear.
whimper,"To make quiet, weak sounds of fear or pain",whine; cry,roar; shout,The frightened puppy began to whimper.
mumble,To speak quietly and unclearly,mutter; murmur,enunciate; speak clearly,He mumbled an apology under his breath.
cackle,To laugh loudly and harshly,laugh harshly; squawk,—,The witch cackled loudly in the story.
crack up,To burst into laughter; or suffer an emotional breakdown,,,The comedian's final joke made the audience crack up.
snicker,To laugh quietly in a disrespectful way,snigger; chuckle,—,The boys began to snicker when the hat blew away.
snivel,To cry or complain in an irritating way,whine; whimper,—,He continued to snivel about the tiny scratch.
howl,"To make a long, loud cry",wail; yowl,whisper; murmur,The wolves began to howl at night.
bawl,To shout or cry very loudly,shout; wail,whisper; murmur,The baby began to bawl loudly.
absolve,To declare someone free from blame,exonerate; acquit,blame; condemn,The new evidence helped absolve her of blame.
obsolete,No longer used because something newer has replaced it,outdated; antiquated,current; modern,DVD players have become largely obsolete in many homes.
current,Belonging to the present time; also flowing water,present; contemporary,outdated; past,Please use the current version of the form.
truce,An agreement to temporarily stop fighting,ceasefire; armistice,war; conflict,The two sides agreed to a temporary truce.
inept,Unskilled or incompetent,incompetent; unskilled,adept; skilful,The inept thief dropped the stolen bag.
hinder,To make progress difficult,impede; obstruct,help; facilitate,Heavy snow may hinder our journey.
sever,To cut or break off completely,cut; detach,join; connect,The storm severed the power cable.
severe,"Very serious, harsh, or intense",harsh; intense,mild; gentle,The region suffered severe flooding.
encompass,To include or surround completely,include; surround,exclude; omit,"The course will encompass history, geography and science."
scatter,To spread in different directions,disperse; spread,gather; collect,The wind scattered the leaves across the road.
trickle,To flow slowly in a small stream,drip; dribble,pour; gush,Water began to trickle through the crack.
trinket,A small decorative object of little value,bauble; ornament,—,She bought a small silver trinket at the market.
memoir,A written account of part of someone's life,reminiscence; autobiography,—,The explorer wrote a memoir about her travels.
mirage,"An optical illusion, often appearing like water in a desert",illusion; hallucination,reality; actuality,The distant pool of water turned out to be a mirage.
languid,Lacking energy; moving slowly,lethargic; listless,energetic; lively,He moved with a languid pace in the afternoon heat.
austerity,Strict economy with reduced spending or comforts,frugality; economy,extravagance; luxury,The family adopted a period of austerity to save money.
extravagance,Excessive or unnecessary spending,luxury; excess,frugality; economy,The enormous chandelier seemed an unnecessary extravagance.
susceptible,Likely to be affected or influenced,vulnerable; prone,resistant; immune,Young plants are susceptible to frost.
dearth,A serious shortage,shortage; scarcity,abundance; surplus,A dearth of rainfall damaged the crops.
fusion,The joining of two or more things,merger; combination,separation; division,The dish is a fusion of several cooking styles.
cuisine,A particular style of cooking,cookery; cooking style,—,Italian cuisine is famous for pasta and pizza.
meld,To blend or combine,blend; merge,separate; divide,The two musical styles meld beautifully.
molten,Melted by great heat,melted; liquid,solid; frozen,Molten rock flowed from the volcano.
tease,To make fun of or provoke playfully,mock; taunt,praise; comfort,It is unkind to tease someone about their appearance.
imperious,Arrogantly commanding and expecting obedience,domineering; commanding,submissive; humble,The imperious ruler expected instant obedience.
meek,"Quiet, gentle, and easily controlled",submissive; gentle,assertive; bold,The meek child rarely argued with anyone.
smug,Excessively pleased with yourself,self-satisfied; conceited,humble; dissatisfied,He wore a smug smile after winning the argument.
vein,A blood vessel carrying blood towards the heart,blood vessel; vessel,—,A vein carries blood towards the heart.
demure,"Quiet, modest, and reserved",modest; reserved,bold; flamboyant,She gave a demure smile.
boastful,Talking proudly about yourself or your achievements,bragging; conceited,modest; humble,His boastful comments annoyed his teammates.
timid,Shy and lacking courage,shy; fearful,bold; courageous,The timid rabbit hid beneath the bush.
hallmark,A typical feature showing quality or character,characteristic; trademark,—,Attention to detail is a hallmark of her work.
insignia,A badge or symbol showing rank or membership,emblem; badge,—,The uniform carried the regiment's insignia.
ploy,A clever plan used to gain an advantage,tactic; ruse,—,The discount was a ploy to attract more customers.
token,"A sign, symbol, or small representation of something",symbol; sign,—,He gave her flowers as a token of gratitude.
elementary,Basic or simple,basic; simple,advanced; complex,The first chapter covers elementary mathematics.
potential,Having the possibility of developing or succeeding,possible; prospective,actual; impossible,She has the potential to become an excellent pianist.
probable,Likely to happen,likely; expected,unlikely; improbable,Rain is probable this afternoon.
refrain,To stop yourself from doing something,abstain; desist,indulge; continue,Please refrain from talking during the test.
myriad,A very large number,countless; multitude,few; handful,A myriad of stars filled the night sky.
aromatic,"Having a strong, pleasant smell",fragrant; scented,odourless; foul-smelling,Aromatic herbs filled the kitchen with a pleasant smell.
fragrant,"Having a pleasant, sweet smell",perfumed; aromatic,foul-smelling; odourless,The garden was full of fragrant roses.
vex,"To annoy, worry, or frustrate",annoy; irritate,please; soothe,The repeated error continued to vex the programmer.
exorbitant,Unreasonably expensive or excessive,excessive; extortionate,reasonable; moderate,The shop charged an exorbitant price for the umbrella.
adverse,Harmful or unfavourable,unfavourable; harmful,favourable; beneficial,The race was cancelled because of adverse weather.
favourable,"Helpful, positive, or advantageous",beneficial; advantageous,adverse; unfavourable,The plants need favourable conditions to grow well.
squander,To waste something valuable,waste; fritter away,save; conserve,Do not squander your savings on things you do not need.
conserve,To protect something or use it carefully,preserve; save,waste; squander,We should conserve water during a drought.
solitary,Alone or done without other people,alone; isolated,sociable; accompanied,A solitary tree stood in the middle of the field.
petite,Small and delicately built,small; dainty,large; bulky,The petite dancer moved gracefully across the stage.
paltry,Very small or inadequate,meagre; insignificant,substantial; generous,They were offered a paltry reward for hours of work.
wee,Very small,tiny; little,huge; enormous,A wee bird perched on the fence.
trifling,Unimportant or of little value,trivial; insignificant,important; substantial,They quarrelled over a trifling matter.
tenuous,"Very weak, slight, or uncertain",weak; slight,strong; substantial,There was only a tenuous link between the two events.
uniform,The same throughout; also special clothing worn by a group,consistent; identical,varied; irregular,The tiles were uniform in size and shape.
sagacious,Wise and showing good judgement,wise; discerning,foolish; unwise,The sagacious judge considered every piece of evidence.
snub,To deliberately ignore or insult someone,ignore; rebuff,welcome; acknowledge,She felt hurt when her old friend snubbed her.
smirk,To smile in an irritatingly self-satisfied way,sneer; grin,frown; scowl,He gave a smug smirk after guessing correctly.
censure,Strong official criticism,condemnation; criticism,praise; approval,The official faced public censure for his behaviour.
royal,"Relating to a king, queen, or their family",regal; kingly,common; ordinary,The royal procession passed through the city.
empire,A group of countries or territories ruled by one authority,realm; dominion,—,The Roman Empire once covered a vast area.
sequence,A particular order in which things follow each other,order; succession,disorder; randomness,Put the pictures in the correct sequence.
evade,To avoid or escape from something,avoid; elude,confront; face,The fox managed to evade the hunters.
aspire,To strongly hope to achieve something,aim; hope,despair; abandon,She aspires to become a doctor.
desire,A strong wish to have or achieve something,wish; longing,aversion; dislike,He had a strong desire to travel.
naive,Inexperienced and too willing to believe people,gullible; inexperienced,shrewd; sophisticated,His naive trust made him easy to deceive.
artefact,"An object made by humans, especially one of historical interest",object; relic,—,The archaeologist uncovered a Roman artefact.
apprehend,To arrest; or to understand,arrest; understand,release; misunderstand,Police apprehended the suspect near the station.
purloin,To steal,steal; pilfer,return; restore,Someone tried to purloin a silver spoon.
impart,To give or communicate information,communicate; convey,withhold; conceal,The teacher tried to impart her knowledge to the class.
pilfer,To steal small things,steal; purloin,return; give,Someone had been pilfering biscuits from the cupboard.
resonate,To produce a deep sound; or have a strong emotional meaning,echo; reverberate,dampen; deaden,Her words continued to resonate with the audience.
diplomatic,Skilled at dealing with people without causing offence,tactful; discreet,tactless; blunt,He gave a diplomatic answer that offended nobody.
tactful,Careful not to upset or offend others,diplomatic; considerate,tactless; insensitive,She was tactful when discussing his mistake.
sway,To move from side to side; or influence someone,swing; influence,steady; resist,The trees began to sway in the wind.
magma,Hot liquid rock beneath Earth's surface,molten rock; lava beneath ground,—,Magma rose beneath the volcano.
vouch,To state that something is true or trustworthy,guarantee; attest,deny; dispute,I can vouch for her honesty.
attest,To provide evidence that something is true,confirm; certify,deny; refute,Several witnesses can attest to what happened.
dais,A raised platform,platform; podium,—,The head teacher stood on the dais.
celestial,"Relating to the sky, space, or heavens",heavenly; astronomical,terrestrial; earthly,They used a telescope to observe celestial objects.
vital,Absolutely necessary or essential,essential; crucial,unnecessary; trivial,Clean water is vital for survival.
trough,A long narrow container; also a low point,channel; low point,peak; crest,The horses drank from a stone trough.
vice,Immoral or bad behaviour; a bad habit,immorality; bad habit,virtue; goodness,Greed was considered his greatest vice.
virtue,A good moral quality,goodness; merit,vice; wickedness,Patience is a valuable virtue.
sweltering,Uncomfortably hot,scorching; roasting,freezing; frigid,We sat in the shade during the sweltering afternoon.
scalding,Extremely hot; hot enough to burn,boiling; burning,cold; tepid,Be careful—the water is scalding.
tepid,Slightly warm,lukewarm; mildly warm,hot; cold,The tea had become tepid.
frigid,Extremely cold,freezing; icy,hot; sweltering,A frigid wind blew across the field.
scowl,An angry or disapproving facial expression,glare; frown,smile; grin,He gave me a scowl when I interrupted.
frown,To wrinkle the forehead to show worry or displeasure,scowl; glower,smile; grin,She frowned when she saw the incorrect answer.
hamper,To obstruct or make progress difficult,hinder; impede,help; facilitate,Heavy luggage can hamper your movement.
stroll,To walk in a relaxed way,saunter; amble,rush; sprint,We took a leisurely stroll through the park.
husk,The dry outer covering of a seed or fruit,shell; outer covering,kernel; interior,She removed the husk from the corn.
brittle,Hard but easily broken,fragile; breakable,flexible; tough,The old plastic had become brittle.
shell,A hard outer covering,case; outer covering,interior; core,The chick began to break through its shell.
notion,An idea or belief,idea; belief,fact; certainty,He rejected the notion that success comes without effort.
hind,A female deer,doe; female deer,stag; buck,A hind and her fawn crossed the path.
sedate,"Calm, quiet, and unhurried",calm; composed,excitable; lively,The horse remained sedate despite the noise.
divulge,To reveal secret information,reveal; disclose,conceal; withhold,She refused to divulge the password.
valour,"Great courage, especially in danger",bravery; courage,cowardice; fear,The firefighter was honoured for exceptional valour.
midst,The middle of something,middle; centre,edge; outskirts,We found ourselves in the midst of a noisy crowd.
forfeit,To lose something as a penalty,surrender; lose,retain; keep,"If you break the rule, you may forfeit your prize."
inconsequential,Not important,unimportant; trivial,important; significant,The spelling error was inconsequential to the main argument.
superficial,Existing only at the surface; not deep or thorough,shallow; surface-level,deep; thorough,His knowledge of the subject was superficial.
negligible,So small or unimportant that it can be ignored,insignificant; trivial,substantial; considerable,The difference in price was negligible.
substantial,"Large, important, or considerable",considerable; significant,negligible; slight,They made a substantial improvement to the building.
salient,Most noticeable or important,prominent; notable,minor; irrelevant,She summarised the salient points of the report.
immaterial,Irrelevant or unimportant,irrelevant; unimportant,relevant; important,His age was immaterial to the decision.
insignificant,Too small or unimportant to matter,trivial; negligible,significant; important,The scratch was insignificant and needed no repair.
discord,Disagreement or lack of harmony,conflict; disharmony,harmony; agreement,The decision caused discord within the group.
chronicle,A factual record of events in time order,record; account,—,The diary chronicles his journey across Europe.
bland,Lacking strong flavour or interest,tasteless; dull,flavourful; exciting,The soup was bland and needed more seasoning.
insipid,"Lacking flavour, energy, or interest",bland; tasteless,flavourful; lively,The drink was watery and insipid.
whine,To complain in an annoying voice,complain; whimper,praise; accept,The child began to whine about having to wait.
moan,To make a low sound of pain or complain,groan; complain,cheer; rejoice,He moaned about the cold weather all morning.
surmise,To guess something from limited evidence,guess; infer,know; verify,"From the muddy footprints, we surmised that someone had entered."
deduct,To subtract or take away,subtract; remove,add; include,The teacher deducted two marks for the missing working.
enchant,To delight greatly; or magically charm,delight; charm,repel; disgust,The magical story enchanted the young audience.
skim,To read or look over quickly; or remove something from a surface,scan; glance over,study; read closely,I skimmed the article before reading it carefully.
pare,To trim by cutting away the outer part,trim; peel,add; enlarge,She pared the apple with a small knife.
rebuke,To sharply express disapproval,reprimand; scold,praise; commend,The coach rebuked the player for ignoring instructions.
gadget,A small useful mechanical or electronic device,device; appliance,—,This small gadget measures the room temperature.
comprehensive,Complete and covering almost everything necessary,complete; extensive,incomplete; limited,The guide gives a comprehensive overview of the topic.
thorough,"Careful, detailed, and complete",comprehensive; meticulous,superficial; careless,The police carried out a thorough search.
indulgent,Overly willing to satisfy someone's wishes,lenient; permissive,strict; severe,His indulgent grandparents rarely refused him anything.
prudent,Sensible and careful about future consequences,wise; cautious,reckless; imprudent,It was prudent to save some money for emergencies.
detrimental,Harmful,harmful; damaging,beneficial; helpful,Too little sleep can be detrimental to concentration.
queasy,Feeling sick or nauseous,nauseous; sick,well; comfortable,The rough sea made me feel queasy.
witty,Clever and amusing,clever; amusing,dull; humourless,Her witty reply made everyone laugh.
chore,A routine or unpleasant task,task; duty,pleasure; recreation,Washing the dishes is my least favourite chore.
revolve,To move around a central point,rotate; orbit,remain still; stop,The Earth revolves around the Sun.
veteran,Someone with long experience in an activity; also a former service member,expert; old hand,novice; beginner,The veteran climber knew how to handle the difficult conditions.
elongate,To make longer,lengthen; extend,shorten; contract,Stretching the shape will elongate it.
curtail,To reduce or cut short,shorten; reduce,extend; prolong,The storm forced us to curtail our trip.
tempest,A violent storm,storm; gale,calm; stillness,The ship struggled through a violent tempest.
waver,To become uncertain; or move unsteadily,hesitate; falter,persist; remain firm,She did not waver in her decision.
ignite,To set on fire or cause to begin burning,kindle; light,extinguish; quench,A spark can ignite dry grass.
kindle,To start a fire; or arouse a feeling,ignite; arouse,extinguish; suppress,They used dry twigs to kindle the fire.
docile,Quiet and easy to control,submissive; gentle,defiant; unruly,The docile pony was safe for beginners to ride.
obedient,Willing to follow commands,compliant; dutiful,disobedient; defiant,The obedient dog returned when called.
compliant,Willing to obey rules or requests,obedient; cooperative,defiant; resistant,The company was fully compliant with the new rules.
resentful,Feeling bitterness because of unfair treatment,bitter; aggrieved,content; forgiving,He felt resentful after being blamed unfairly.
gloomy,"Dark, sad, or depressing",dismal; sombre,cheerful; bright,The dark clouds made the afternoon feel gloomy.
censorious,Extremely critical of other people,critical; condemnatory,approving; tolerant,Her censorious comments made everyone uncomfortable.
decrepit,Old and in very poor condition,dilapidated; worn-out,sound; sturdy,They found a decrepit shed at the end of the garden.
obliging,Willing and eager to help,helpful; accommodating,unhelpful; unwilling,The obliging neighbour carried our bags inside.
poise,Calm confidence and controlled behaviour,composure; grace,awkwardness; agitation,She answered the difficult questions with poise.
technophobe,Someone who dislikes or avoids modern technology,technology-averse person,technophile,The self-confessed technophobe still preferred a paper diary.
flog,"To sell something, especially by trying hard to persuade buyers",sell; peddle,buy; keep,He tried to flog his old bicycle at the market.
amoral,Not concerned with whether behaviour is morally right or wrong,unprincipled; morally indifferent,moral; principled,The villain was portrayed as cold and amoral.
stricken,"Seriously affected by illness, fear, grief, or disaster",afflicted; distressed,unaffected; healthy,The flood-stricken village needed urgent help.
strenuous,Requiring a great deal of physical or mental effort,arduous; demanding,easy; effortless,The steep climb was strenuous.
melodious,Pleasant and musical to hear,tuneful; musical,discordant; harsh,A melodious birdsong came from the trees.
discordant,Harsh and unpleasant in sound; not in agreement,harsh; disharmonious,harmonious; melodious,The instruments produced a discordant noise.
afflict,"To cause continuing pain, suffering, or difficulty",trouble; plague,relieve; comfort,Severe drought can afflict farming communities.
dictate,To give orders; or say words for someone else to write,command; prescribe,request; follow,The rules dictate what safety equipment must be worn.
desist,To stop doing something,stop; cease,continue; persist,The guard ordered them to desist from climbing the fence.
prevalent,Common or widespread,widespread; common,rare; uncommon,Colds are prevalent during the winter.
enrapt,"Completely delighted, fascinated, or absorbed",captivated; delighted,bored; indifferent,The children were enrapt by the storyteller.
threadbare,"Worn so thin that threads show; figuratively, overused",worn; shabby,new; pristine,"He wore an old, threadbare coat."
devoted,"Very loyal, loving, or committed",loyal; dedicated,disloyal; indifferent,She is devoted to caring for her animals.
stalwart,"Very loyal, dependable, and hardworking",loyal; dependable,unreliable; disloyal,He remained a stalwart supporter of the team.
jovial,"Cheerful, friendly, and good-humoured",cheerful; merry,gloomy; miserable,Our jovial host made everyone feel welcome.
genial,"Friendly, cheerful, and pleasant",friendly; cheerful,hostile; unfriendly,The genial shopkeeper greeted every customer warmly.
fraught,"Full of difficulties, problems, or worry",troubled; tense,calm; easy,The journey was fraught with delays.
fracas,A noisy argument or fight,brawl; disturbance,peace; calm,A noisy fracas broke out outside the stadium.
facilitate,To make an action or process easier,enable; assist,hinder; impede,The new bridge will facilitate travel between the villages.
nullify,To cancel something or make it ineffective,cancel; invalidate,validate; enforce,The new evidence could nullify the earlier decision.
infamy,Fame for something particularly disgraceful,notoriety; disgrace,honour; renown,The traitor's actions earned him lasting infamy.
notoriety,Fame for something bad or undesirable,infamy; ill fame,obscurity; honour,The criminal gained notoriety after the daring robbery.
rebuttal,An argument showing that a claim is wrong,refutation; counterargument,agreement; confirmation,She gave a strong rebuttal to the accusation.
fickle,"Frequently changing opinions, loyalties, or feelings",changeable; capricious,steadfast; constant,The fickle crowd quickly changed its opinion.
staunch,"Very loyal, firm, and committed",steadfast; loyal,wavering; disloyal,He was a staunch defender of his friend.
virulent,"Extremely harmful or severe, especially in causing disease",severe; highly infectious,mild; harmless,A virulent strain of the disease spread rapidly.
proxy,Someone authorised to act for another person,representative; substitute,principal; self,She voted by proxy because she could not attend.
fester,To become worse because a problem is not dealt with,worsen; suppurate,heal; improve,Resentment can fester if a disagreement is never discussed.
intrinsic,Belonging naturally to something; essential to its nature,inherent; innate,extrinsic; external,Curiosity is intrinsic to learning.
debut,A first public appearance or performance,first appearance; launch,finale; retirement,The young singer made her debut at the festival.
hustle,To move quickly and energetically,hurry; bustle,dawdle; linger,We had to hustle to catch the last train.
chew the fat,"To have a relaxed, friendly conversation",,,"After dinner, the old friends sat down to chew the fat."
delegate,To give a task or responsibility to another person,assign; entrust,retain; withhold,The manager decided to delegate the task to her assistant.
procrastinate,To delay doing something that should be done,delay; postpone,act; expedite,"If you procrastinate, you may have to finish everything at the last minute."
fringe,The outer edge of something; also hair across the forehead,edge; border,centre; core,A fringe of trees surrounded the field.
asinine,"Relating to donkeys; more commonly, extremely foolish",foolish; stupid,wise; sensible,It was an asinine idea to go hiking without water.
bovine,Relating to cattle,cattle-like; relating to cattle,—,The veterinarian specialises in bovine diseases.
canine,Relating to dogs and similar animals,dog-like; relating to dogs,—,The wolf belongs to the canine family.
caprine,Relating to goats,goat-like; relating to goats,—,The farm specialises in caprine breeds.
cervine,Relating to deer,deer-like; relating to deer,—,The animal had a graceful cervine appearance.
corvine,Relating to crows and ravens,crow-like; relating to crows,—,Ravens and crows are corvine birds.
equine,Relating to horses and similar animals,horse-like; relating to horses,—,She works at an equine veterinary clinic.
feline,Relating to cats,cat-like; relating to cats,—,The tiger moved with feline grace.
leonine,Relating to or resembling lions,lion-like; relating to lions,—,His thick mane of hair gave him a leonine appearance.
lupine,Relating to or resembling wolves,wolf-like; relating to wolves,—,The creature had distinctly lupine features.
murine,Relating to mice and rats,mouse-like; relating to mice,—,The researchers studied a murine model in the laboratory.
ovine,Relating to sheep,sheep-like; relating to sheep,—,The farmer specialises in ovine care.
piscine,Relating to fish,fish-like; relating to fish,—,The fossil had several piscine features.
porcine,Relating to pigs,pig-like; relating to pigs,—,The vet examined the animal for a porcine disease.
serpentine,Relating to snakes; winding or twisting,winding; snake-like,straight; direct,A serpentine road climbed the mountain.
ursine,Relating to or resembling bears,bear-like; relating to bears,—,The animal's broad paws gave it an ursine appearance.
vulpine,Relating to or resembling foxes,fox-like; relating to foxes,—,"The character wore a sly, vulpine smile."
settee,A long upholstered seat for two or more people; a sofa,sofa; couch,—,We sat together on the settee.
hammock,A cloth or net bed hung between two supports,sling; hanging bed,—,He relaxed in a hammock between two trees.
blot,"A spot or stain; figuratively, something that damages a reputation",stain; blemish,clean mark; credit,A drop of ink left a blot on the page.
jury,A group of people chosen to hear evidence and decide a court case,panel; jurors,—,The jury listened carefully to the evidence.
